ANNO;CODICE_MESE;NOME_MESE;CODICE_PRODOTTO;NOME_PRODOTTO;PREZZO;IVA;ACCISA;NETTO
1998;1;Gennaio;5;GPL;468,11;78,02;168,06;222,04
1998;1;Gennaio;6;O.C. fluido BTZ;402,64;67,11;143,03;192,50
1998;1;Gennaio;7;O.C. ATZ;148,36;0,00;46,48;101,88
1998;1;Gennaio;8;O.C. denso BTZ;139,79;0,00;23,24;116,55
1998;2;Febbraio;1;Benzina;925,88;154,31;527,96;243,60
1998;2;Febbraio;2;Diesel;729,86;121,65;386,04;222,18
1998;2;Febbraio;3;Gasolio riscaldamento;719,59;119,93;386,04;213,62
1998;2;Febbraio;5;GPL;455,53;75,92;168,06;211,55
1998;2;Febbraio;6;O.C. fluido BTZ;396,29;66,05;143,03;187,21
1998;2;Febbraio;7;O.C. ATZ;135,74;0,00;46,48;89,26
1998;2;Febbraio;8;O.C. denso BTZ;129,10;0,00;23,24;105,86
1998;3;Marzo;1;Benzina;912,41;152,07;527,96;232,38
1998;3;Marzo;2;Diesel;718,29;119,72;386,04;212,54
1998;3;Marzo;3;Gasolio riscaldamento;707,93;117,99;386,04;203,90
1998;3;Marzo;5;GPL;448,15;74,69;168,06;205,41
1998;3;Marzo;6;O.C. fluido BTZ;390,51;65,08;143,03;182,39
1998;3;Marzo;7;O.C. ATZ;129,18;0,00;46,48;82,69
1998;3;Marzo;8;O.C. denso BTZ;122,15;0,00;23,24;98,91
1998;4;Aprile;1;Benzina;908,60;151,43;527,96;229,20
1998;4;Aprile;2;Diesel;715,09;119,18;386,04;209,87
1998;4;Aprile;3;Gasolio riscaldamento;706,58;117,76;386,04;202,78
1998;4;Aprile;5;GPL;445,70;74,28;168,06;203,37
1998;4;Aprile;6;O.C. fluido BTZ;388,53;64,76;143,03;180,74
1998;4;Aprile;7;O.C. ATZ;135,70;0,00;46,48;89,22
1998;4;Aprile;8;O.C. denso BTZ;128,17;0,00;23,24;104,93
1998;5;Maggio;1;Benzina;912,36;152,06;527,96;232,34
1998;5;Maggio;2;Diesel;719,09;119,85;386,04;213,21
1998;5;Maggio;3;Gasolio riscaldamento;702,21;117,04;386,04;199,14
1998;5;Maggio;5;GPL;445,59;74,26;168,06;203,27
1998;5;Maggio;6;O.C. fluido BTZ;383,26;63,88;143,03;176,35
1998;5;Maggio;7;O.C. ATZ;138,81;0,00;46,48;92,33
1998;5;Maggio;8;O.C. denso BTZ;127,63;0,00;23,24;104,39
1998;6;Giugno;1;Benzina;912,03;152,01;527,96;232,06
1998;6;Giugno;2;Diesel;712,40;118,73;386,04;207,63
1998;6;Giugno;3;Gasolio riscaldamento;691,29;115,22;386,04;190,04
1998;6;Giugno;5;GPL;443,40;73,90;168,06;201,44
1998;6;Giugno;6;O.C. fluido BTZ;374,33;62,39;143,03;168,91
1998;6;Giugno;7;O.C. ATZ;134,78;0,00;46,48;88,30
1998;6;Giugno;8;O.C. denso BTZ;123,45;0,00;23,24;100,21
1998;7;Luglio;1;Benzina;913,33;152,22;527,96;233,14
1998;7;Luglio;2;Diesel;706,28;117,71;386,04;202,53
1998;7;Luglio;3;Gasolio riscaldamento;682,87;113,81;386,04;183,02
1998;7;Luglio;5;GPL;439,90;73,32;168,06;198,53
1998;7;Luglio;6;O.C. fluido BTZ;372,63;62,10;143,03;167,49
1998;7;Luglio;7;O.C. ATZ;135,84;0,00;46,48;89,36
1998;7;Luglio;8;O.C. denso BTZ;124,34;0,00;23,24;101,10
1998;8;Agosto;1;Benzina;909,71;151,62;527,96;230,13
1998;8;Agosto;2;Diesel;702,58;117,10;386,04;199,45
1998;8;Agosto;3;Gasolio riscaldamento;679,07;113,18;386,04;179,86
1998;8;Agosto;5;GPL;439,06;73,18;168,06;197,82
1998;8;Agosto;6;O.C. fluido BTZ;368,35;61,39;143,03;163,93
1998;8;Agosto;7;O.C. ATZ;131,62;0,00;46,48;85,13
1998;8;Agosto;8;O.C. denso BTZ;118,68;0,00;23,24;95,44
1998;9;Settembre;1;Benzina;906,38;151,06;527,96;227,35
1998;9;Settembre;2;Diesel;700,02;116,67;386,04;197,32
1998;9;Settembre;3;Gasolio riscaldamento;682,82;113,80;386,04;182,99
1998;9;Settembre;5;GPL;439,04;73,17;168,06;197,81
1998;9;Settembre;6;O.C. fluido BTZ;368,94;61,49;143,03;164,42
1998;9;Settembre;7;O.C. ATZ;133,39;0,00;46,48;86,91
1998;9;Settembre;8;O.C. denso BTZ;117,03;0,00;23,24;93,79
